Country Name,Region,Subregion,Intermediate Region,GNI,Internet use,International tourism,"Life expectancy, female","Life expectancy, male",Physicians,Population,Women in national parliament,"Tertiary education, female","Tertiary education, male",Greenhouse gas emissions,High Income Economy
Georgia,Asia,Western Asia,Western Asia,15137018591,68.84671356,7726000,78.14,69.349,7.1201,3714000,20.66666667,68.11850739,60.15990067,16900,0
Germany,Europe,Western Europe,Western Europe,3.91E+12,88.13451691,39563000,83.4,78.6,4.2488,83240525,31.17066291,71.48545074,69.28555298,806090,1
Ghana,Africa,Sub-Saharan Africa,Western Africa,70776627999,37.88415262,897000,65.177,62.991,0.1359,31072945,13.09090909,15.77715015,18.6248703,44500,0
Gibraltar,Europe,Southern Europe,Southern Europe,,94.44447158,,,,,33691,,,,146.733922,0
Greece,Europe,Southern Europe,Southern Europe,2.04E+11,75.67120669,34005000,84.5,79.5,5.4789,10715549,21.66666667,142.882431,142.8231506,84750,1
Greenland,Americas,Northern America,Northern America,2042180080,69.48246178,,73.04,68.32,1.135,56367,,,,,1
Grenada,Americas,Latin America and the Caribbean,Caribbean,984811682.9,59.07173536,526000,74.953,70.073,1.4067,112519,46.66666667,116.2242584,93.20107269,2360,0
Guam,Oceania,Micronesia,Micronesia,,80.50546556,1667000,83.55,76.828,1.084,168783,,,,59.5164813,0
Guatemala,Americas,Latin America and the Caribbean,Central America,76206231567,40.70304908,2560000,77.151,71.382,0.3549,16858333,19.375,23.55789948,20.04137039,35400,0
Guinea,Africa,Sub-Saharan Africa,Western Africa,14340050917,21.83002304,99000,62.117,60.855,0.0832,13132792,16.66666667,6.990009785,16.20155907,28890,0
Guinea-Bissau,Africa,Sub-Saharan Africa,Western Africa,1456255017,3.930509152,52400.00153,60.213,56.305,0.1274,1967998,13.7254902,0.060710002,0.973779976,2800,0
Guyana,Americas,Latin America and the Caribbean,South America,4266532421,37.32583679,315000,73.095,66.927,0.8023,786559,35.71428571,15.38761997,7.78786993,5040,0
Haiti,Americas,Latin America and the Caribbean,Caribbean,13446602203,32.47362713,938000,66.182,61.831,0.2343,11402533,2.542372881,0.533599973,1.594889998,9930,0
Honduras,Americas,Latin America and the Caribbean,Central America,22201408353,32.13636364,2315000,77.551,72.96,0.3089,9904608,21.09375,30.28330994,22.18382072,22400,0
"Hong Kong SAR, China",Asia,Eastern Asia,Eastern Asia,3.66E+11,91.74340039,55913000,88.1,82.2,1.319,7481800,,85.4701004,76.69708252,36448.702,1
Hungary,Europe,Eastern Europe,Eastern Europe,1.59E+11,80.37169361,61397000,79.3,72.9,3.4075,9749763,12.06030151,55.56222916,45.30236053,60920,1
Iceland,Europe,Northern Europe,Northern Europe,24634234578,99.01095399,2202000,84.2,81,4.0778,366425,38.0952381,95.70391846,51.7650795,3440,1
India,Asia,Southern Asia,Southern Asia,2.60E+12,20.08130004,17914000,70.95,68.464,0.8571,1380004385,14.36464088,30.21796036,27.11051941,3374990,0
Indonesia,Asia,South-eastern Asia,South-eastern Asia,1.03E+12,47.69064898,16107000,73.967,69.572,0.4269,273523621,20.34782609,38.99365997,33.75196075,969580,0
